"WeekDate","Site","AEddyDist0","CEddyDist0","Chl0","EKE0","FSLE0","Sal0","SSH0","Temp0","VelAsp0","VelMag0","Md","Zc","Me","Kg","Gg","Dd","Gm","Mb","Pm","Mm"
2017-03-26,"BP",152.376026857143,98.6008101428571,0.16800716,130.825783571429,-0.222907100714286,36.4222185714286,0.147680369528571,24.7543101428571,109.001418512857,0.329216772428571,3,0,40,5,8,177,0,0,5,0
2017-04-02,"BP",108.130402142857,90.9467964285714,0.118235721428571,53.5558378571429,-0.312077918285714,36.3822414285714,0.177432778514286,25.193241,66.3566770628571,0.475684138428571,3,0,33,8,28,44,0,0,1,0
2017-04-09,"BP",125.501590571429,102.112049428571,0.139336761428571,142.019810428571,-0.169807176285714,36.3243828571429,0.201698986157143,24.7959437142857,62.6229778271429,0.248953195571429,0,0,12,3,9,139,3,0,0,0
2017-04-16,"BP",125.488345714286,117.124111428571,0.0924922485714286,85.1542542857143,-0.169095628428571,36.3292885714286,0.239021035557143,25.4088397142857,47.6686439985714,0.56523572,0,0,36,10,0,78,3,0,4,0
2017-04-23,"BP",123.023262142857,158.879460571429,0.06047127,115.267357142857,-0.0875401237142857,36.4061342857143,0.244488784042857,24.6160434285714,54.10262603,0.403067985857143,1,0,46,3,15,115,8,0,1,0
2017-04-30,"BP",182.705786571429,100.248715142857,0.0775514085714286,264.895025714286,-0.207926831857143,36.3630942857143,0.191889967985714,25.5839995714286,55.4558527314286,0.371286236285714,1,0,84,3,9,112,22,0,2,0
2017-05-07,"BP",193.432205,117.401719,0.0731974414285714,445.947571428571,-0.129864289857143,36.3515514285714,0.1799569867,25.603513,72.2685555757143,0.398773160571429,1,0,77,2,6,16,1,0,0,0
2017-05-14,"BP",186.741628142857,136.770877857143,0.0625843957142857,9.414903,-0.0986886351428571,36.2977228571429,0.2097288524,26.4208214285714,48.67707913,0.470868234285714,0,0,52,2,2,159,0,0,24,0
2017-05-21,"BP",142.089077285714,123.879815,0.08526723,95.9420485714286,-0.187911339571429,36.30776,0.217038481057143,27.0203648571429,59.7156297471429,0.818385827714286,1,0,91,3,18,53,2,0,0,0
2017-05-28,"BP",125.305715142857,120.867931571429,0.0510586071428571,84.2155285714286,-0.383221112571429,36.19714,0.311588442442857,26.988244,59.0333697257143,0.628721981,0,0,14,0,0,10,2,0,1,0
2017-06-04,"BP",195.897651714286,97.9144937142857,0.0536834157142857,1827.54738571429,-0.156231927,36.2189971428571,0.244468007057143,27.0111151428571,211.538413597143,0.300608438142857,0,0,77,4,0,18,0,0,2,0
2017-06-11,"BP",135.934552,88.7873631428571,0.0605232042857143,1586.61363142857,-0.175944902142857,36.2025971428571,0.239619387885714,27.3873194285714,120.26464841,0.501759458285714,0,0,93,4,0,15,0,0,0,0
2017-06-18,"BP",115.619422142857,167.537394285714,0.0491523071428571,540.731747428571,-0.142289049857143,36.1209471428571,0.2825279258,27.7349522857143,57.23368476,0.756043881857143,1,0,102,5,1,106,0,0,1,0
2017-06-25,"BP",172.23578,103.657898,0.0426547585714286,150.710795714286,-0.169344716571429,36.1624428571429,0.310621079971429,28.1328247142857,60.4783504585714,0.593914831571429,0,0,45,7,0,9,0,0,2,0
2017-07-02,"BP",114.221426142857,125.313733285714,0.0490461285714286,80.4746785714286,-0.222450063,36.1162328571429,0.279393814528571,28.2721917142857,68.8859655228571,0.670107632142857,0,0,62,7,0,42,0,0,0,0
2017-07-09,"BP",94.2144361428571,147.945449285714,0.0424691128571429,384.178157142857,-0.226826324285714,36.1304742857143,0.263770525885714,29.2218584285714,76.6742194314286,0.349611977285714,0,0,29,6,0,6,0,0,5,0
2017-07-16,"BP",97.3129732857143,106.535968714286,0.05019319,101.67757,-0.212662985285714,36.2221028571429,0.312460727957143,29.2294971428571,53.38485839,0.661328936571429,0,0,24,0,0,13,0,0,1,0
2017-07-23,"BP",123.280531428571,93.2608071428571,0.0577368914285714,314.186634857143,-0.126847937857143,36.1523885714286,0.210714982185714,29.1638337142857,59.7104877057143,0.800801330285714,3,0,31,4,0,36,3,0,5,0
2017-07-30,"BP",118.415257428571,107.569921428571,0.0601465671428571,196.404282428571,-0.185879568142857,36.2362942857143,0.273745381342857,28.7474192857143,61.9557683971429,0.451215836714286,10,0,62,4,0,17,0,0,15,0
2017-08-06,"BP",99.6475007142857,149.760087,0.0602893885714286,1553.89962471429,-0.222563166142857,36.1402057142857,0.222187984471429,28.9603554285714,44.9875414142857,1.019677913,0,0,70,5,2,73,1,0,4,0
2017-08-13,"BP",164.036330142857,113.466718857143,0.0549094171428571,116.710732857143,-0.188111665714286,36.1748414285714,0.300090146185714,29.363677,63.73313756,0.559124066,4,0,10,2,0,17,0,0,1,0
2017-08-20,"BP",115.355722142857,152.297126142857,0.0540866,77.0831751428571,-0.137213294571429,36.1956928571429,0.264189903371429,29.5847295714286,54.8503072257143,0.717868992857143,0,0,40,1,4,37,0,0,1,0
2017-08-27,"BP",158.212758714286,145.318204,0.05856508,78.1604657142857,-0.145559393142857,36.1153814285714,0.308391491957143,29.0837338571429,49.6314614371429,0.458680709428571,0,0,29,7,5,75,0,0,26,0
2017-09-03,"BP",65.2573438571429,98.551961,0.0728489628571429,249.958788571429,-0.165021928714286,36.1373428571429,0.328457166328571,29.0352815714286,38.2863799914286,0.623143062571429,0,0,129,9,0,21,2,0,2,0
2017-09-10,"BP",88.2529118571429,141.064917428571,0.06475338,603.576742857143,-0.140495222428571,36.1634128571429,0.279261247571429,28.5570922857143,26.1341262471429,0.628225754142857,0,0,213,9,2,47,0,0,0,0
2017-09-17,"BP",144.192557,111.424509,0.101809142857143,1757.53628571429,-0.19422608,36.2755485714286,0.217993316042857,28.30688,41.6872556028571,1.05470125442857,0,0,113,1,0,25,0,0,45,0
2017-09-24,"BP",109.972292571429,74.8140758571429,0.129886448571429,385.003257142857,-0.101505338142857,36.2809614285714,0.2374752377,28.402838,54.6947389114286,0.786466653,0,0,121,0,0,22,0,0,4,0
2017-10-01,"BP",107.159833142857,132.412613714286,0.107057798571429,179.744105714286,-0.163503498571429,36.3507557142857,0.284271638342857,27.3357157142857,27.2281953971429,0.42514603,0,0,160,1,0,47,0,0,0,0
2017-10-08,"BP",171.657997714286,142.194694285714,0.113201474285714,162.090998571429,-0.126389411857143,36.4048042857143,0.296151942114286,27.6220422857143,55.5103987485714,0.349422128142857,0,0,194,7,0,44,0,0,3,0
2017-10-15,"BP",111.908492285714,179.136909714286,0.118512825714286,168.908860085714,-0.0825741162857143,36.2958685714286,0.297975072557143,27.6494204285714,40.8582097457143,0.509412228428571,0,0,296,5,0,32,2,0,2,0
2017-10-22,"BP",94.3776595714286,170.968225857143,0.129001572857143,389.324857142857,-0.102150210714286,36.2918471428571,0.184826814685714,27.3435742857143,38.6302085942857,0.718017585857143,0,0,111,2,0,7,0,0,1,0
2017-10-29,"BP",120.219717857143,125.20029,0.158463827142857,111.145439285714,-0.135898157714286,36.3019971428571,0.272422928757143,27.1893438571429,95.8152278328571,0.478495343142857,3,0,49,3,0,8,0,0,20,0
2017-11-05,"BP",134.056920857143,96.0881677142857,0.130093538571429,198.670528571429,-0.135171021571429,36.3680085714286,0.2750775793,26.6222008571429,246.855071501429,0.172897779714286,0,0,52,1,0,34,0,0,0,0
2017-11-12,"BP",116.496230857143,99.5149762857143,0.13643659,42.156658,-0.145424838857143,36.4071028571429,0.212442067985714,25.647647,50.14554951,0.433318246571429,12,0,45,5,0,15,0,0,3,0
2017-11-19,"BP",73.3011008571429,143.411661,0.158039684285714,96.6925885714286,-0.0955890774285714,36.4203114285714,0.211622530928571,25.0286898571429,41.3542583085714,0.423678937142857,0,0,94,5,0,27,1,0,0,0
2017-11-26,"BP",166.687527142857,95.6609032857143,0.150862872857143,278.886077142857,-0.227279929571429,36.4743385714286,0.193643633542857,24.8132195714286,146.182957051429,0.162019285714286,0,0,79,1,0,66,4,0,0,0
2017-12-03,"BP",139.183875571429,115.990244571429,0.162503317142857,189.772305571429,-0.133190443428571,36.3352014285714,0.1581559595,25.1276725714286,59.77389478,0.409341088,0,0,183,8,3,15,1,0,3,0
