"WeekDate","Site","Chl0","EKE0","FSLE0","SSH0","Temp0","Temp200","Temp400","Temp700","Sal0","Sal200","Sal400","Sal700","VelMag0","VelAsp0","CEddyDist0","AEddyDist0","Md","Zc","Me","Kg","Gg","Mb","Pm","Mm","Gm","Dd"
2019-02-10,"WC",0.445693702857143,63.6288136428571,-0.0924057448571429,-0.674273385714286,11.3851191428571,11.4124245714286,11.5722194285714,12.782807,34.39513,34.4067585714286,34.4722485714286,34.9100014285714,0.183482878714286,158.007737157143,139.804704428571,296.260957857143,0,38,0,0,80,26,123,6,0,928
2019-02-17,"WC",0.588239274285714,156.342678942857,-0.0576297007142857,-0.735983228571429,9.69678242857143,9.75843085714286,10.0829308571429,11.0247781428571,34.3653757142857,34.3919128571429,34.5107742857143,34.8628471428571,0.346092995285714,184.646234642857,251.229774,289.482403,0,29,0,0,55,39,332,12,0,991
2019-02-24,"WC",0.477301154285714,300.725725742857,-0.0393912075714286,-0.741945757142857,9.37191071428571,9.41278442857143,9.57509114285714,10.1887238571429,34.4708471428571,34.48195,34.5442757142857,34.7594914285714,0.444882707714286,216.121251714286,119.289398285714,267.075929142857,0,52,0,0,142,36,523,9,8,654
2019-03-03,"WC",0.412177454285714,330.439224442857,-0.0625354998571429,-0.696908085714286,10.2702692857143,10.2909247142857,10.4564522857143,10.9709672857143,34.68936,34.7015585714286,34.75836,34.94422,0.332988902714286,211.921792857143,170.974776857143,259.193755571429,0,18,0,0,108,29,551,0,11,760
2019-03-10,"WC",0.457081001428571,339.644385257143,-0.0724972218571429,-0.674515357142857,10.9053365714286,10.8790448571429,11.2170341428571,12.3582627142857,34.3379428571429,34.34321,34.5073157142857,34.9897528571429,0.316614495428571,178.250358828571,249.447905142857,254.304217857143,0,23,0,0,179,13,456,18,2,452
2019-03-17,"WC",0.585106347142857,365.7710609,-0.096692541,-0.727639,9.85814771428571,9.84418014285714,10.1202264285714,11.3434562857143,34.2817471428571,34.29086,34.4426228571429,35.0173471428571,0.396341627428571,202.716672314286,199.250873571429,222.660129142857,0,18,0,0,243,32,534,0,0,496
2019-03-24,"WC",0.732824888571429,312.617572828571,-0.116882097428571,-0.683826142857143,10.6308562857143,10.6898072857143,11.2861581428571,12.4653048571429,34.4077814285714,34.4375057142857,34.67548,35.2566157142857,0.308405327428571,185.187889685714,159.388281571429,181.235319,0,38,0,1,290,46,494,3,13,722
2019-03-31,"WC",0.983834938571429,203.128513857143,-0.155297083857143,-0.707981442857143,12.2363947142857,12.1027454285714,12.1014294285714,13.049679,34.7275414285714,34.7520557142857,34.8243457142857,35.2508342857143,0.259754654142857,204.284517057143,63.5116401428571,170.231891857143,0,14,0,0,328,55,658,4,1,767
2019-04-07,"WC",1.16011015857143,803.0110863,-0.105140278857143,-0.679139771428571,15.7378245714286,15.6860962857143,14.6828141428571,14.0770762857143,35.3432471428571,35.3577771428571,35.3569285714286,35.49502,0.325546421428571,213.282518457143,68.8274951428571,185.745055,0,22,0,0,628,20,1259,0,3,795
2019-04-14,"WC",0.906484158571429,1081.25973682857,-0.0740988527142857,-0.648245485714286,12.295105,12.2093662857143,12.3193777142857,12.9327554285714,34.2916042857143,34.3028971428571,34.4725242857143,35.0283471428571,0.265178009285714,126.597839971429,89.8006198571429,200.541622857143,0,17,0,0,381,28,955,0,2,797
2019-04-21,"WC",0.632197692857143,237.408184628571,-0.121822376142857,-0.7105085,13.2407954285714,13.2815615714286,13.0191231428571,13.2671314285714,34.1666457142857,34.5195042857143,34.86558,35.3461157142857,0.366832828714286,175.918984885714,108.728870571429,181.045491857143,0,6,0,0,237,12,1038,5,7,942
2019-04-28,"WC",0.402606916666667,125.217383233333,-0.151542327333333,-0.6802871,17.0183546666667,16.9128243333333,16.5018953333333,15.13992,35.8487066666667,35.8452866666667,35.8342,35.7857,0.379939446666667,246.548794733333,126.200361,161.451106,0,0,0,0,641.666666666667,4.66666666666667,658,0,0,452.666666666667
2016-05-01,"NFC",1.24275858,188.598596614286,-0.0698650824285714,-0.703319485714286,12.8087272857143,11.892127,11.8010058571429,12.2327588571429,34.58565,34.8362357142857,35.0430742857143,35.2879528571429,0.316339261428571,192.2884557,126.197241857143,201.477551857143,0,0,0,0,57,13,18,0,43,970
2016-05-08,"NFC",0.934578657142857,972.630788914286,-0.0967234584285714,-0.717866628571429,14.8720067142857,14.4362374285714,14.1353867142857,14.1767652857143,35.12354,35.26588,35.44884,35.6230828571429,0.270551403571429,197.516213071429,196.331005142857,180.857286,0,6,0,0,44,6,6,0,82,905
2016-05-15,"NFC",0.52910185,747.192687114286,-0.0335785777142857,-0.791520914285714,14.9772745714286,14.7885714285714,14.8783158571429,14.773712,35.1448871428571,35.3441728571429,35.6946328571429,35.92395,0.224769293285714,196.783147371429,221.963018714286,170.976867714286,0,2,0,0,20,6,16,1,73,682
2016-05-22,"NFC",0.399819132857143,679.793630942857,-0.0659161521428571,-0.6852632,17.1599081428571,15.2866537142857,13.7371137142857,13.7448801428571,34.4110214285714,34.6115757142857,35.0755271428571,35.4587157142857,0.160762157,134.9061938,164.610180285714,191.448003285714,0,2,0,0,18,0,63,1,42,755
2016-05-29,"NFC",0.26099648,684.705450414286,-0.0221478805714286,-0.615409328571429,21.5379752857143,20.0440327142857,17.9317581428571,15.7101884285714,33.7620642857143,35.2606757142857,35.5375557142857,35.5889771428571,0.207140019714286,111.906270614286,127.248863,239.867691714286,0,0,0,0,5,0,106,4,98,366
2016-06-05,"NFC",0.157480751428571,74.6130202857143,-0.033537937,-0.643411885714286,22.1830541428571,17.4066545714286,15.1214711428571,14.3070711428571,33.48929,34.4311028571429,35.1041542857143,35.5582557142857,0.262445666285714,163.005474857143,146.943356857143,244.547592,0,0,0,1,8,0,43,0,147,162
